,p5,median,p95
1833.5,0.015405273135926975,0.020902312426652192,0.028647526657775257
1834.5,0.01578867975452891,0.021424388015700707,0.029367627720387493
1835.5,0.016183877727300275,0.02196487336676667,0.0301085858579397
1836.5,0.016584585853160055,0.0225103086063706,0.030864335633680268
1837.5,0.016994656152143427,0.02306282456979096,0.031638529817996724
1838.5,0.017414926357038417,0.023628986083778572,0.03242380068192684
1839.5,0.01784146725040971,0.024209695168806236,0.033230403224015014
1840.5,0.018272117378667695,0.024799595327097163,0.03405328253821162
1841.5,0.018709462213050747,0.025389395751657367,0.03488380533470399
1842.5,0.01914976898361684,0.025993596252566684,0.035721482221180975
1843.5,0.01958342867808617,0.026595753416621935,0.03655788560684758
1844.5,0.020010161757977617,0.027188406698759784,0.037396593905939135
1845.5,0.020443084693032708,0.027793691302330135,0.03824659980583558
1846.5,0.020884033005792557,0.02839974489873768,0.03911039945325666
1847.5,0.021329964795100093,0.029007482262069322,0.039985777294524405
1848.5,0.021790013855082734,0.029628339139486228,0.04088891223252279
1849.5,0.022256904456733374,0.030255279540935955,0.04180744641718363
1850.5,0.022720721614355004,0.03088530329437733,0.04273218393264164
1851.5,0.023173929104262605,0.03151369401486004,0.04365761101933081
1852.5,0.023607328336451565,0.03212655979324086,0.04456373484890969
1853.5,0.02402992077489394,0.03272989415193793,0.045465416392354435
1854.5,0.024465964120241303,0.03334552703817384,0.046391268985682924
1855.5,0.02491509515288861,0.03396803997683802,0.047335904922614955
1856.5,0.025368007236009973,0.03458780110521525,0.04828122793561415
1857.5,0.025837763900893478,0.03521609531629278,0.049226891419845195
1858.5,0.02632343854109128,0.035850777817930155,0.05015995538270118
1859.5,0.0268186873595707,0.03648987917960511,0.05108909823177782
1860.5,0.027322022157653544,0.037140543784993846,0.05203781590220084
1861.5,0.027825631253578738,0.037798412118870445,0.05300283741858403
1862.5,0.02832699042799896,0.03845455976181848,0.053971571488567856
1863.5,0.028821648433565418,0.0391165577897728,0.0549337059479425
